uk_air_id,eu_site_id,site_id,name,city,region,latitude,longitude
UKA00513,GB0729A,ABD7,Aberdeen Union Street Roadside,Aberdeen City,North East Scotland,57.144555,-2.106472
UKA00541,GB0729A,ARM6,Armagh Roadside,Armagh,Northern Ireland,54.353728,-6.654558
UKA00451,GB0729A,ACTH,Auchencorth Moss,Leadburn,Central Scotland,55.792160,-3.242900
UKA00633,GB0729A,BAAR,Ballymena Antrim Road,Ballymena,Northern Ireland,54.851491,-6.274961
UKA00353,GB0729A,BAR3,Barnsley Gawber,Barnsley,Yorkshire & Humberside,53.562920,-1.510436
UKA00574,GB0729A,BPLE,Barnstaple A39,North Devon,South West,51.074793,-4.041924
UKA00660,GB0729A,BHA4,Bath A4 Roadside,Bath,South West,51.390922,-2.355030
UKA00212,GB0729A,BEL2,Belfast Centre,Belfast,Northern Ireland,54.599650,-5.928833
UKA00594,GB0729A,BEL1,Belfast Stockman's Lane,Belfast,Northern Ireland,54.572586,-5.974944
UKA00153,GB0729A,BIL,Billingham,Billingham,North East,54.605370,-1.27503
UKA00625,GB0729A,BBRD,Birkenhead Borough Road,Birkenhead,North West & Merseyside,53.388511,-3.025014
UKA00626,GB0729A,BIRR,Birmingham A4540 Roadside,Birmingham,West Midlands,52.476090,-1.875024
UKA00559,GB0729A,AGRN,Birmingham Acocks Green,Tyseley,West Midlands,52.437165,-1.829999
UKA00655,GB0729A,BMLD,Birmingham Ladywood,Birmingham,West Midlands,52.481346,-1.918235
UKA00590,GB0729A,BLAR,Blackburn Accrington Road,Blackburn,North West & Merseyside,53.747751,-2.452724
UKA00488,GB0729A,BLC2,Blackpool Marton,Blackpool,North West & Merseyside,53.804890,-3.007175
UKA00644,GB0729A,BDMP,Borehamwood Meadow Park,Hertsmere,Eastern,51.661229,-0.270671
UKA00429,GB0729A,BORN,Bournemouth,Bournemouth,South West,50.739570,-1.826744
UKA00611,GB0729A,BDMA,Bradford Mayo Avenue,Bradford,Yorkshire & Humberside,53.771245,-1.759774
UKA00483,GB0729A,BRT3,Brighton Preston Park,Brighton,South East,50.840836,-0.147572
UKA00631,GB0729A,BR11,Bristol Temple Way,Bristol,South West,51.457968,-2.583975
UKA00652,GB0729A,BOTR,Burton-on-Trent Horninglow,East Staffordshire,West Midlands,52.821050,-1.635718
UKA00598,GB0729A,BURW,Bury Whitefield Roadside,Sunny Bank,North West & Merseyside,53.559029,-2.293772
UKA00128,GB0729A,BUSH,Bush Estate,Edinburgh,Central Scotland,55.862281,-3.205782
UKA00396,GB0729A,CAM,Cambridge Roadside,Cambridge,Eastern,52.202370,0.124456
UKA00259,GB0729A,CA1,Camden Kerbside,London,Greater London,51.544210,-0.175269
UKA00623,GB0729A,CANK,Cannock A5190 Roadside,Cannock Chase,West Midlands,52.687298,-1.980821
UKA00424,GB0729A,CANT,Canterbury,Canterbury,South East,51.273990,1.098061
UKA00217,GB0729A,CARD,Cardiff Centre,Cardiff,South Wales,51.481780,-3.176250
UKA00653,GB0729A,CNPR,Cardiff Newport Road,Cardiff,South Wales,51.490960,-3.152305
UKA00526,GB0729A,CARL,Carlisle Roadside,Carlisle,North West & Merseyside,54.894834,-2.945307
UKA00537,GB0729A,MACK,Charlton Mackrell,South Somerset,South West,51.056250,-2.683450
UKA00553,GB0729A,CHAT,Chatham Roadside,Gillingham,South East,51.374264,0.547970
UKA00515,GB0729A,CHP,Chepstow A48,Bulwark,South Wales,51.638094,-2.678731
UKA00604,GB0729A,CHLG,Chesterfield Loundsley Green,Chesterfield,East Midlands,53.244131,-1.454946
UKA00614,GB0729A,CHBO,Chilbolton Observatory,Test Valley,South East,51.149617,-1.438228
UKA00624,GB0729A,CHBR,Christchurch Barrack Road,Southbourne,South West,50.735454,-1.780888
UKA00634,GB0729A,COBR,Coventry Binley Road,Coventry,West Midlands,52.407708,-1.490082
UKA00659,GB0729A,COPP,Crewe Coppenhall,Crewe,North West & Merseyside,53.115941,-2.453492
UKA00819,GB0729A,CWMC,Cwmbran Crownbridge,Cwmbran,South Wales,51.653819,-3.0063700
UKA00630,GB0729A,DESA,Derby St Alkmund's Way,Derby,East Midlands,52.922983,-1.469507
UKA00619,GB0729A,DERR,Derry Rosemount,Derry,Northern Ireland,55.002818,-7.331179
UKA00654,GB0729A,DYAG,Dewsbury Ashworth Grove,Kirklees,Yorkshire & Humberside,53.693104,-1.637111
UKA00612,GB0729A,DCST,Doncaster A630 Cleveland Street,Doncaster,Yorkshire & Humberside,53.518240,-1.138057
UKA00555,GB0729A,DUMB,Dumbarton Roadside,Dumbarton,Central Scotland,55.943197,-4.559730
UKA00428,GB0729A,DUMF,Dumfries,Dumfries,Scottish Borders,55.070033,-3.614233
UKA00643,GB0729A,DCC1,Dundee Mains Loan,Dundee,North East Scotland,56.475434,-2.959861
UKA00591,GB0729A,EA8,Ealing Horn Lane,London,Greater London,51.518950,-0.265617
UKA00546,GB0729A,EB,Eastbourne,Eastbourne,South East,50.805778,0.271611
UKA00649,GB0729A,EDNS,Edinburgh Nicolson Street,City of Edinburgh,Central Scotland,55.944760,-3.183991
UKA00263,GB0729A,EX,Exeter Roadside,Exeter,South West,50.725083,-3.532465
UKA00495,GB0729A,FW,Fort William,Fort William,Highland,56.822660,-5.101102
UKA00593,GB0729A,GGWR,Glasgow Great Western Road,Glasgow,Central Scotland,55.872038,-4.270936
UKA00336,GB0729A,GLA4,Glasgow Kerbside,Glasgow,Central Scotland,55.859170,-4.258889
UKA00544,GB0729A,GRA2,Grangemouth Moray,Grangemouth,Central Scotland,56.013142,-3.710833
UKA00621,GB0729A,GKA8,Greenock A8 Roadside,Greenock,Central Scotland,55.944079,-4.734421
UKA00596,GB0729A,CAE6,Hafod-yr-ynys Roadside,Crumlin,South Wales,51.680579,-3.133508
UKA00645,GB0729A,HSAW,Hartlepool St Abbs Walk,Hartlepool,North East,54.683242,-1.203838
UKA00169,GB0729A,HM,High Muffles,Ryedale,Yorkshire & Humberside,54.334944,-0.808550
UKA00566,GB0729A,HONI,Honiton,East Devon,South West,50.792287,-3.196702
UKA00511,GB0729A,HORE,Horley,Reigate and Banstead,South East,51.165865,-0.167734
UKA00450,GB0729A,HUL2,Hull Freetown,Hull,Yorkshire & Humberside,53.748780,-0.341222
UKA00600,GB0729A,HULR,Hull Holderness Road,Hull,Yorkshire & Humberside,53.758971,-0.305749
UKA00647,GB0729A,IMGM,Immingham Woodlands Avenue,Immingham,Yorkshire & Humberside,53.619241,-0.213324
UKA00434,GB0729A,INV2,Inverness,Inverness,Highland,57.481308,-4.241451
UKA00171,GB0729A,LB,Ladybower,High Peak,East Midlands,53.403370,-1.752006
UKA00564,GB0729A,LEAR,Leamington Spa Rugby Road,Leamington Spa,West Midlands,52.294884,-1.542911
UKA00222,GB0729A,LEED,Leeds Centre,Leeds,Yorkshire & Humberside,53.803780,-1.546472
UKA00527,GB0729A,LED6,Leeds Headingley Kerbside,Leeds,Yorkshire & Humberside,53.819972,-1.576361
